state_abbr,city_name,AQI,latitude,longitude,population,Residential electricity consumption (MWh),Residential natural gas consumption (TcF),Commercial electricity consumption (MWh)
IL,Decatur,41.93972602739726,39.855983,-88.933746,74063,329490,2479518,243956
NM,Deming,20.780555555555555,32.263189,-107.751368,14582,36588,225925,34038
ND,Dickinson,34.88251366120219,46.89278,-102.796143,21985,83209,356502,116094
KS,Dodge City,17.97814207650273,37.760677,-100.018438,27875,86940,509529,97086
AL,Dothan,35.11071428571429,31.233698,-85.406823,68066,384280,65583,339194
GA,Douglas,32.46511627906977,31.507435,-82.854287,11742,61112,8736,74457
DE,Dover,42.0989010989011,39.160602,-75.521659,37351,140852,343501,238852
PA,DuBois,38.82840236686391,41.122269,-78.756154,7637,23022,294506,18392
CO,Durango,51.69125683060109,37.276725,-107.868915,17817,48136,342042,94218
TN,Dyersburg,27.010416666666668,36.044923,-89.377947,16867,102933,209931,75225
TX,Eagle Pass,31.2888198757764,28.711448,-100.481575,28209,108205,107242,107358
PA,East Stroudsburg,41.76775956284153,41.00422,-75.174741,10023,38276,88688,27284
WI,Eau Claire,33.860724233983284,44.81966,-91.494877,67654,225970,1056633,352933
IL,Effingham,40.85514018691589,39.11975,-88.550896,12650,56136,266787,96079
CA,El Centro,69.97540983606558,32.787325,-115.558006,43699,153655,200763,164011
AR,El Dorado,36.64754098360656,33.217742,-92.664202,18393,94950,259573,113657
TX,El Paso,53.30874316939891,31.84836,-106.426979,678058,1665632,5555591,1647475
NV,Elko,21.06376811594203,40.838659,-115.767464,20078,57944,297762,68755
WA,Ellensburg,26.325136612021858,47.001204,-120.548001,18957,67127,140332,58830
KS,Emporia,23.67796610169492,38.402015,-96.191818,24707,95947,432675,111106
PA,Erie,41.53551912568306,42.116594,-80.073503,100157,277201,3278484,310523
OR,Eugene,36.9344262295082,44.056748,-123.116207,161649,732151,989621,620297
WY,Evanston,41.778688524590166,41.260088,-110.963739,12179,35121,315954,33545
AK,Fairbanks,54.72131147540984,64.836531,-147.651745,32578,69677,24840,54677
WV,Fairmont,32.78947368421053,39.476877,-80.149089,18699,72498,525552,112454
NV,Fallon,43.64102564102564,39.473991,-118.777952,8410,29112,174617,41519
NM,Farmington,46.986338797814206,36.753833,-108.18053,44067,126491,858726,293819
NC,Fayetteville,41.05027932960894,35.082766,-78.973515,203670,1114149,1090825,711056
NV,Fernley,43.82102272727273,39.564533,-119.189523,19228,51846,426651,25445
AZ,Flagstaff,46.06830601092896,35.185212,-111.620698,69270,158794,1071875,237448
MI,Flint,40.18956043956044,43.024419,-83.691964,98918,344236,3298910,295436
SC,Florence,38.38805970149254,34.179575,-79.785073,38221,210257,197053,209213
WI,Fond du Lac,40.65608465608466,43.772182,-88.440264,43018,149379,1000351,116200
CO,Fort Collins,56.57103825136612,40.548216,-105.064833,157251,450653,3119958,427867
AL,Fort Payne,41.0028735632184,34.457329,-85.689447,14101,68598,32619,95275
IN,Fort Wayne,44.14207650273224,41.088173,-85.14388,260954,999305,6369895,935435
CA,Fresno,82.4207650273224,36.783603,-119.793445,513807,1248953,5674950,956897
AL,Gadsden,52.61931818181818,34.009563,-86.015643,36235,184327,401563,148462
SC,Gaffney,41.72093023255814,35.0755,-81.657647,12859,71193,96295,52095
FL,Gainesville,37.62222222222222,29.678832,-82.346103,128610,562570,586747,547709
GA,Gainesville,33.42016806722689,34.289658,-83.829893,37906,149987,215242,205063
SC,Georgetown,16.90705128205128,33.372432,-79.280793,9071,54690,46000,22782
PA,Gettysburg,45.09836065573771,39.830597,-77.234147,7643,21164,119523,15345
WY,Gillette,45.47540983606557,44.278496,-105.501213,32033,166079,525585,315835
CO,Glenwood Springs,49.778688524590166,39.550626,-107.324308,9806,26531,251794,55192
NE,Grand Island,22.654867256637168,40.921352,-98.358559,50895,207500,2816024,80585
CO,Grand Junction,47.60109289617486,39.089062,-108.567452,60630,173636,1403265,179578
OR,Grants Pass,30.363387978142075,42.432313,-123.331772,36776,153930,296520,178477
MT,Great Falls,26.421348314606742,47.502518,-111.29997,59479,181922,1501899,227719
CO,Greeley,48.99453551912568,40.415278,-104.769743,98975,247479,2214744,229113
WI,Green Bay,36.99453551912568,44.520676,-87.984169,104951,274928,2548493,456517
MA,Greenfield Town,37.11748633879781,42.614671,-72.597063,17477,51611,241785,64945
NC,Greenville,37.98611111111112,35.596431,-77.375256,89745,548325,391471,467012
SC,Greenwood,39.20900321543408,34.19475,-82.153681,23260,129733,247228,90493
MS,Grenada,31.45871559633028,33.781445,-89.811547,12863,62587,156486,51657
ID,Hailey,16.964601769911503,43.512475,-114.300205,8058,32654,131968,16102
LA,Hammond,29.16239316239316,30.50565,-90.456493,20389,98911,94410,214936
AR,Harrison,37.14207650273224,36.242592,-93.11765,13168,54836,220095,71777
VA,Harrisonburg,33.52732240437158,38.436255,-78.873303,51979,180241,140416,302303
MS,Hattiesburg,35.544642857142854,31.306467,-89.317561,46846,232322,211271,379464
MT,Helena,42.97267759562842,46.595465,-112.018746,30102,95258,816521,144553
NM,Hobbs,42.32142857142857,32.729088,-103.160828,36863,138105,349030,259605
MI,Holland,43.99166666666667,42.768074,-86.098598,33581,77349,697094,223341
AR,Hot Springs,35.47899159663866,34.490458,-93.050359,36711,181220,399632,340542
MI,Houghton,11.491666666666667,47.1102,-88.568828,7924,10939,120032,17357
IN,Huntington,40.9,40.881952,-85.505174,17340,74824,277854,37564
AL,Huntsville,37.65465465465466,34.699013,-86.67298,188973,1171037,1120286,792368
ID,Idaho Falls,40.52732240437158,43.487517,-112.035712,58933,249934,874268,118020
PA,Indiana,40.80508474576271,40.573037,-79.873672,7287,27945,239872,19698
PA,Indiana,40.80508474576271,40.621954,-79.155283,14002,29775,235223,26598
IA,Iowa City,34.549180327868854,41.656041,-91.530588,72385,238478,1333317,118255
NY,Ithaca,38.2409972299169,42.443937,-76.503055,30625,58862,362891,109561
NY,Ithaca,38.2409972299169,42.413898,-76.540186,20398,47115,295755,59020
MS,Jackson,44.64754098360656,32.315831,-90.212823,172039,872925,1760044,727435
TN,Jackson,28.617391304347827,35.658449,-88.837398,67162,399445,1161625,476958
FL,Jacksonville,44.99180327868852,30.336864,-81.661603,856616,4692718,680310,4119959
ND,Jamestown,11.405479452054797,46.907081,-98.695137,15441,58227,329561,129145
IN,Jasper,35.023622047244096,38.393529,-86.940579,15790,71255,173217,71774
MO,Jefferson City,39.467289719626166,38.567461,-92.175254,43143,218482,354546,233943
PA,Johnstown,43.66939890710383,40.326132,-78.919139,20169,60960,609272,65156
MO,Joplin,33.27700831024931,37.076357,-94.501211,51231,269355,653871,339309
MT,Kalispell,36.24590163934426,48.216152,-114.327645,21619,94332,384493,133399
NH,Keene,37.99180327868852,42.953775,-72.306728,23537,63470,16841,83267
TX,Kingsville,32.928104575163395,27.509201,-97.861028,26177,128403,115491,109129
NC,Kinston,40.310880829015545,35.275099,-77.593368,21393,147367,214793,118075
OR,Klamath Falls,33.2534435261708,42.218595,-121.774962,21322,90654,276353,86705
TN,Knoxville,54.26775956284153,35.97068,-83.94927,183927,1091335,963157,1061305
IN,Kokomo,37.716923076923074,40.464005,-86.128074,58075,266673,1335318,167884
OR,La Grande,24.343406593406595,45.324471,-118.086891,13079,51727,164898,58450
NH,Laconia,32.3579766536965,43.576496,-71.482301,16171,46931,113095,39324
LA,Lafayette,42.69672131147541,30.207432,-92.028483,125808,784340,721918,906677
LA,Lake Charles,46.12021857923497,30.202699,-93.214742,75044,415565,463641,17419
FL,Lake City,39.64347826086957,30.188762,-82.647103,12137,68456,15958,77411
PA,Lancaster,51.60109289617486,40.835954,-80.113066,2514,12886,39734,5890
PA,Lancaster,51.60109289617486,40.042061,-76.30099,59341,189427,816291,156291
PA,Lancaster,51.60109289617486,40.021474,-76.324858,16984,65463,216722,23036
WY,Laramie,47.62021857923497,41.305955,-105.608637,32096,107952,727162,105384
TX,Laredo,39.92622950819672,27.560406,-99.489231,251671,999235,771239,864236
NM,Las Cruces,60.35245901639344,32.326444,-106.789695,101459,297329,1025255,407611
TN,Lawrenceburg,27.70689655172414,35.249606,-87.332002,10573,64954,66043,58413
OK,Lawton,41.37431693989071,34.617048,-98.4204,96728,411866,938160,298282
PA,Lebanon,51.22131147540984,40.341192,-76.422735,25654,93644,210605,35750
PA,Lebanon,51.22131147540984,41.697713,-75.271887,640,3594,7759,1940
NE,Lexington,19.08333333333333,40.778096,-99.746337,10090,50213,321175,14144
OH,Lima,34.29781420765028,40.740679,-84.112091,37836,141948,915759,112797
NE,Lincoln,35.77777777777778,40.810466,-96.680345,273018,1351563,1778931,989097
TX,Longview,36.76502732240437,32.519337,-94.764592,82184,381362,554094,521253
WA,Longview,20.8870523415978,46.145707,-122.964299,36720,219038,93566,136631
TX,Lubbock,22.605042016806724,33.565636,-101.886671,244507,1104392,2664709,1385892
MI,Ludington,42.66666666666666,43.957196,-86.442937,8051,23124,294671,27580
VA,Lynchburg,28.141666666666666,37.399016,-79.195458,78755,360783,489073,374946
GA,Macon,43.44535519125683,32.808844,-83.694193,168040,868705,2001116,1079836
CA,Madera,67.15300546448087,36.963983,-120.080243,63398,130610,509034,64057
WI,Madison,40.27146814404432,43.087815,-89.429856,246034,683166,4845198,1095351
NY,Malone,20.272222222222226,44.772856,-74.28157,14346,32670,46619,26884
WI,Manitowoc,42.02127659574468,44.097981,-87.678945,33183,94437,1009533,123070
OH,Marietta,41.66355140186916,39.423166,-81.446426,13912,57565,297218,131100
MN,Marshall,29.29494382022472,44.44852,-95.789925,13616,64883,182520,64407
TX,Marshall,38.01912568306011,32.539159,-94.353173,23651,111133,163680,152257
IA,Mason City,16.982857142857142,43.148609,-93.199795,27546,104677,808906,84006
OK,McAlester,40.69398907103825,34.926816,-95.769944,18255,91528,193209,74244
OR,Medford,35.775956284153004,42.336896,-122.854244,78856,337507,818126,526395
CA,Merced,60.84426229508197,37.305695,-120.477871,81461,195878,737727,147966
MS,Meridian,37.1745283018868,32.387808,-88.690333,40094,197717,338366,216564
OK,Miami,40.73497267759563,36.887,-94.873378,13631,57218,224420,44043
KY,Middlesborough,40.18007662835249,36.613468,-83.722453,9842,60068,58061,44570
MT,Missoula,59.87158469945355,46.867912,-114.010427,70117,222812,1367149,293963
AL,Mobile,42.18156424581006,30.668426,-88.100226,193717,1030422,1408033,773735
CA,Modesto,64.21311475409836,37.637533,-121.003049,208512,623227,2674897,429032
LA,Monroe,36.406976744186046,32.518985,-92.077179,49361,254439,441009,291673
MI,Monroe,31.558333333333334,41.916678,-83.384903,20243,65014,496926,127892
AL,Montgomery,42.099173553719005,32.347174,-86.266114,201717,1094449,1872378,1017002
CO,Montrose,40.43873517786561,38.468867,-107.859123,19016,69652,505886,38406
NC,Morehead City,36.782874617737,34.727976,-76.733983,9273,59018,34553,121298
WV,Morgantown,36.37307692307692,39.637565,-79.946682,30364,89645,494736,95396
TN,Morristown,50.64016736401673,36.204351,-83.300032,29395,178821,53990,211784
ID,Moscow,9.87037037037037,46.730609,-116.998909,24855,83841,256637,48691
WA,Moses Lake,20.0387811634349,47.128971,-119.27414,21846,136003,32317,150334
IL,Mount Vernon,40.97543859649123,38.314202,-88.917529,14880,79894,342049,98911
OH,Mount Vernon,43.60093896713615,40.386191,-82.484004,16777,69092,346444,49150
IN,Muncie,39.79565217391304,40.198826,-85.395059,69583,298958,1495071,346871
IA,Muscatine,38.49453551912568,41.419058,-91.067946,23909,109333,581310,64597
MI,Muskegon,45.70786516853933,43.228218,-86.255415,38086,87477,1367301,135852
OK,Muskogee,18.512676056338027,35.742697,-95.35701,38605,195317,542506,180734
CA,Napa,39.71857923497268,38.29722,-122.30117,79567,171969,1113785,172625
IN,New Castle,29.94117647058824,39.919835,-85.370064,17634,76646,399834,48842
PA,New Castle,35.7887323943662,40.995617,-80.345807,22500,100590,661136,65238
PA,New Castle,35.7887323943662,40.740907,-76.218256,377,1603,1667,6331
AZ,Nogales,39.86776859504132,31.362463,-110.933538,20355,50547,210738,103192
FL,Ocala,39.387978142076506,29.180256,-82.149532,57873,304573,98680,446462
TX,Odessa,29.389041095890413,31.88378,-102.341062,114258,547249,1023651,335735
OK,Oklahoma City,47.3551912568306,35.467079,-97.513657,620015,2931106,10044989,3295973
WA,Othello,15.540462427745664,46.822283,-119.165233,7726,27252,33415,13385
KY,Owensboro,46.95355191256831,37.757172,-87.117398,58685,280155,1007295,98940
NC,Oxford,42.375586854460096,36.321727,-78.586512,8707,41129,89044,26179
FL,Palatka,15.01662049861496,29.648407,-81.661803,10407,43259,27775,57190
FL,Panama City,39.03551912568306,30.166271,-85.670191,36654,185763,72802,256832
AZ,Payson,47.756830601092894,34.243893,-111.31884,15297,73273,105152,76828
IL,Peoria,42.57103825136612,40.751516,-89.61736,115990,414094,8534328,615730
SD,Pierre,17.985795454545453,44.375163,-100.319996,13959,67378,196218,59491
PA,Pittsburgh,61.80054644808743,40.439753,-79.976592,305305,953457,10564248,1383940
MA,Pittsfield,28.65070422535211,42.45184,-73.260685,43632,126330,883160,166516
WI,Platteville,30.341637010676155,42.727882,-90.468164,12020,28794,162509,19297
ID,Pocatello,30.601092896174865,42.871583,-112.465564,54592,200083,929701,111426
OK,Ponca City,44.24930747922438,36.721042,-97.068444,24753,132843,498277,182589
WA,Port Angeles,36.31147540983606,48.118959,-123.44826,19420,111797,41088,74797
FL,Port St. Lucie,39.02185792349727,27.280554,-80.388261,175652,908986,69898,330670
OH,Portsmouth,19.825136612021858,38.752795,-82.952373,20393,86258,399652,134983
AZ,Prescott,41.70487106017192,34.585842,-112.446241,41090,155077,703998,254640
UT,Price,45.5224358974359,39.603997,-110.800356,8437,25713,201175,35249
OR,Prineville,27.7816091954023,44.298833,-120.859395,9419,43628,86421,36218
CO,Pueblo,22.203125,38.269934,-104.612294,108385,307798,2347893,340941
WA,Pullman,18.989071038251367,46.734202,-117.166083,32176,99811,196649,58691
WI,Racine,47.39593908629442,42.728284,-87.807086,77931,245644,2102169,227270
NC,Raleigh,48.53825136612022,35.830598,-78.641768,441326,1813183,4415618,1890778
SD,Rapid City,44.76502732240437,44.071071,-103.217924,72441,246793,1269352,357741
PA,Reading,48.778688524590166,39.950816,-77.039371,5813,27004,24974,2563
PA,Reading,48.778688524590166,40.33922,-75.926277,87899,282221,1114451,106221
CA,Red Bluff,54.9207650273224,40.173515,-122.241525,14065,33245,171594,27845
MN,Red Wing,34.21495327102804,44.581265,-92.605011,16484,57826,389584,39903
CA,Redding,46.7896174863388,40.567432,-122.364827,91320,330200,1041880,227616
NV,Reno,51.822404371584696,39.549098,-119.849905,237121,753277,4837020,1004770
VA,Richmond,45.224043715847,37.531399,-77.476009,216773,1066029,3489575,1766831
WY,Riverton,45.31693989071038,43.026256,-108.381303,11044,35311,251413,42438
VA,Roanoke,36.53551912568306,37.278458,-79.958174,99329,486188,1347687,436425
MN,Rochester,33.97808219178082,44.015442,-92.47721,111396,390065,2732235,390296
NY,Rochester,41.756830601092894,43.169927,-77.616891,210291,706963,6756154,845421
NY,Rochester,41.756830601092894,41.805878,-74.265174,7250,19822,47890,7872
WY,Rock Springs,45.27595628415301,41.595042,-109.223663,23967,70906,728844,100457
IL,Rockford,37.01977401129943,42.258836,-89.064553,149597,441317,5208385,355324
ME,Rockland,36.06629834254144,44.123883,-69.130452,7220,22226,2889,38441
NC,Rocky Mount,35.69101123595506,35.968514,-77.808294,56175,372129,551920,253116
GA,Rome,37.515337423312886,34.266133,-85.186052,36340,167120,551773,180536
OR,Roseburg,20.09439528023599,43.222337,-123.351501,22201,98699,230451,204399
NM,Roswell,17.871794871794872,33.373442,-104.529393,48407,186916,620068,356453
NM,Ruidoso,11.575221238938052,33.345751,-105.668032,7833,22201,75132,47697
VT,Rutland,36.467213114754095,43.60967,-72.977788,15921,46664,8914,82188
VT,Rutland,36.467213114754095,43.64465,-72.953042,4058,12317,2561,20582
OH,Salem,15.278688524590164,40.904596,-80.848937,12071,54132,261788,39007
OR,Salem,30.764542936288088,44.923712,-123.023189,161975,582442,1719117,440898
CA,Salinas,40.71857923497268,36.690182,-121.633714,155889,196732,1288173,204866
UT,Salt Lake City,60.19945355191257,40.776928,-111.930991,191446,516463,4756805,978022
ID,Sandpoint,24.101092896174865,48.282759,-116.560809,7698,27845,116942,43197
NC,Sanford,43.39944903581267,35.483463,-79.177659,29048,129063,158511,129636
NM,Santa Fe,44.72677595628415,35.661981,-105.981815,82927,189741,1709291,315163
CA,Santa Rosa,33.77322404371585,38.446816,-122.706136,173165,323901,2312847,356815
MI,Sault Ste. Marie,32.54849498327759,46.476169,-84.370544,13941,36006,487913,118924
GA,Savannah,38.41643835616439,32.002507,-81.153572,144717,698031,1386703,737679
PA,Sayre,38.63687150837989,41.985801,-76.520374,5467,19819,144610,23031
NE,Scottsbluff,22.60919540229885,41.868088,-103.662035,14937,67710,954778,7794
FL,Sebring,33.97520661157025,27.471438,-81.451574,10423,45704,4033,53314
SC,Seneca,41.0,34.681059,-82.965604,8228,53534,57180,34824
TN,Sevierville,45.83798882681564,35.890039,-83.579429,16213,76289,120780,167979
IN,Seymour,43.79234972677595,38.947516,-85.891285,18996,95169,277540,48562
WI,Sheboygan,45.47290640394089,43.745972,-87.731986,48813,141582,1404284,135592
WA,Shelton,22.36065573770492,47.219046,-123.113137,9832,38513,69700,49484
WY,Sheridan,37.18852459016394,44.794818,-106.960648,17866,72508,420263,102222
AZ,Show Low,42.72677595628415,34.265109,-110.0383,10875,35945,165239,72438
SD,Sioux Falls,40.65846994535519,43.538335,-96.731998,167884,583184,4345011,615026
KY,Somerset,38.98201438848921,37.081008,-84.608792,11415,67925,72908,59903
PA,Somerset,38.42857142857143,40.00503,-79.077855,6102,24394,137767,24672
PA,Somerset,38.42857142857143,40.021187,-79.060302,12275,35496,78045,47761
PA,Somerset,38.42857142857143,40.145756,-80.058283,2663,13624,49570,5123
CA,Sonora,56.717514124293785,37.981692,-120.382663,4810,13275,7442,19497
SC,Spartanburg,44.225071225071225,34.942294,-81.926907,37570,190341,364913,226686
IL,Springfield,37.862637362637365,39.791063,-89.644572,116745,552934,8805825,600782
MA,Springfield,43.5,42.115454,-72.539978,153991,425074,3251343,588042
MO,Springfield,37.30601092896175,37.194152,-93.291305,165138,723576,2828641,927415
OH,Springfield,43.15977961432507,39.928825,-83.797365,59761,233126,1570701,182070
MN,St. Cloud,31.112021857923494,45.526621,-94.171049,66770,202177,1074833,232669
UT,St. George,45.1775956284153,37.078225,-113.577201,78573,316436,1120266,257297
PA,St. Marys,38.71387283236994,41.455085,-78.520228,12748,55852,416992,47788
PA,State College,42.37431693989071,40.790985,-77.85681,42074,96258,186247,98217
CO,Steamboat Springs,16.511363636363637,40.475585,-106.822936,12336,50431,275069,81737
GA,Summerville,41.74380165289256,34.478751,-85.349071,4408,23765,70424,16645
NY,Syracuse,37.4344262295082,43.040998,-76.143554,144350,395189,3646832,512369
OK,Tahlequah,38.44237918215613,35.911805,-94.977102,16478,63175,273759,68704
FL,Tallahassee,43.10382513661202,30.455108,-84.253419,188466,843324,444809,975596
NM,Taos,13.955801104972377,36.386829,-105.580252,5735,13591,131840,27657
IN,Terre Haute,44.319559228650135,39.465542,-87.375924,61021,264506,1043114,140980
OR,The Dalles,32.399441340782126,45.597211,-121.162338,15276,82991,78742,9613
OH,Toledo,43.20958083832336,41.664071,-83.581861,280854,995126,7695599,725169
KS,Topeka,37.62021857923497,39.034673,-95.696191,127472,491802,2553099,928992
CT,Torrington,42.69398907103825,41.834052,-73.131413,35227,125316,408043,140124
MI,Traverse City,41.59411764705882,44.754309,-85.603011,15392,42514,594030,95851
NJ,Trenton,46.17213114754098,40.223748,-74.764001,84559,193313,2082823,257295
AZ,Tucson,52.756830601092894,32.153089,-110.870645,527586,1886622,3806511,1118971
OK,Tulsa,48.459016393442624,36.127949,-95.902316,399906,1927512,7319678,2651054
MS,Tupelo,39.02100840336134,34.270604,-88.732455,38856,197060,406003,277794
AL,Tuscaloosa,46.11780821917808,33.234404,-87.5283,96352,451682,542211,346402
ID,Twin Falls,18.65833333333333,42.56319,-114.463654,46623,177159,712543,214061
TX,Tyler,36.54371584699454,32.317258,-95.305886,101946,454105,894630,529109
CA,Ukiah,34.66483516483517,39.146614,-123.210326,15884,32086,205121,44046
GA,Valdosta,34.813455657492355,30.850126,-83.278833,56717,262509,223781,250981
UT,Vernal,53.10928961748634,40.451698,-109.538011,10588,36826,224899,92968
TX,Victoria,33.508620689655174,28.828528,-96.986015,66139,332285,320104,374360
IN,Vincennes,37.977715877437326,38.676101,-87.511119,18098,97037,282784,57038
IN,Wabash,37.82420749279539,40.804765,-85.831158,10414,49829,321105,43468
TX,Waco,35.95355191256831,31.560111,-97.186027,130659,571442,994562,403473
WA,Walla Walla,21.698591549295774,46.068189,-118.336438,31952,137150,233768,118980
SC,Walterboro,36.99416909620992,32.90056,-80.675101,5287,29288,33010,48359
GA,Warner Robins,34.63636363636363,32.597096,-83.653936,73265,405098,169604,122499
OH,Washington Court House,38.555240793201136,39.53886,-83.427938,14115,73627,231339,40143
SD,Watertown,26.363387978142075,44.908934,-97.156051,22026,115265,340911,121785
WI,Wausau,37.161458333333336,44.961867,-89.644676,39138,111450,993369,160819
OK,Weatherford,15.86111111111111,35.538409,-98.68725,11856,66683,145548,32109
WA,Wenatchee,25.5327868852459,47.4256,-120.328685,33257,218952,37218,170875
KS,Wichita,41.967213114754095,37.690669,-97.345869,388033,1552166,7409860,1602067
